Id,SalePrice
1461,122640.40158836765
1462,161034.1006467741
1463,192978.2488628771
1464,200241.8987970245
1465,187292.34449383113
1466,174417.15882409865
1467,172970.2935754971
1468,171043.33178838016
1469,178434.19220840913
1470,128580.89903044682
1471,200282.39068516114
1472,96009.0948304075
1473,101745.91579523719
1474,154496.8523498116
1475,126964.25460671117
1476,384570.78735684784
1477,258472.34927240512
1478,285625.6745311745
1479,271953.7211408706
1480,441152.86134534486
1481,327304.4435522217
1482,206624.87224038685
1483,168481.7568685759
1484,171855.06570795475
1485,174894.6946460151
1486,192041.18560111005
1487,368992.01955622574
1488,234130.23349687332
1489,208905.32632893455
1490,227390.77839293936
1491,190295.70251007157
1492,88213.9850622618
1493,188562.61859524908
1494,294474.30002635485
1495,281591.48168181285
1496,246919.83032674826
1497,181772.32799655222
1498,165405.6459974531
1499,157376.83912076312
1500,151624.83407485523
1501,185890.2426300358
1502,142394.91377000455
1503,288170.18058362894
1504,238358.48357165215
1505,231973.15593587732
1506,178146.26159137374
1507,242204.24762425464
1508,203071.7227981744
1509,162486.2198402086
1510,148381.2924895917
1511,148769.92886829737
1512,163172.67065410034
1513,135742.17835007305
1514,155523.65372220526
1515,196200.4970477225
1516,160575.72930908832
1517,163588.4818711224
1518,128829.69338280005
1519,234906.52543387673
1520,138670.38699497102
1521,139446.71818777284
1522,166719.6733252404
1523,117521.83323991916
1524,122242.05044267692
1525,123198.20512412058
1526,113419.39893340501
1527,99171.53901043264
1528,135653.69890214174
1529,153433.45632887556
1530,172150.65932281103
1531,101107.37607278311
1532,95505.73848045385
1533,146558.07953903737
1534,121144.4475959634
1535,158379.18279276034
1536,112769.38926916411
1537,63035.420818890096
1538,177312.81181866996
1539,204426.48869477623
1540,89018.95495919899
1541,145644.22392471775
1542,139870.13834973835
1543,235827.99246713845
1544,82767.30872440619
1545,104225.99269231468
1546,132667.8049183224
1547,145964.71115369422
1548,137875.1996619124
1549,115828.74545256514
1550,148304.08268174785
1551,109076.41612735277
1552,130562.82797203536
1553,166233.4570152491
1554,110418.72381586718
1555,160846.24307756257
1556,81857.34307699898
1557,99971.98116096594
1558,88754.76576493299
1559,82909.84215764275
1560,137509.18740601442
1561,129091.59017159711
1562,124552.9429358453
1563,121319.88267632187
1564,159128.61197351012
1565,148015.47318431517
1566,226127.95941336994
1567,68633.44269855281
1568,233867.80241954784
1569,149276.726805573
1570,131192.53028233495
1571,123550.1317363228
1572,147151.58026607794
1573,234799.91069658543
1574,106766.97433127408
1575,211054.66483166703
1576,231933.20773745715
1577,202569.18599310023
1578,147770.49974756333
1579,148844.3367021675
1580,190870.85786804938
1581,150289.06200201326
1582,129710.15988601984
1583,347119.4473334878
1584,235955.06952194907
1585,142120.569021373
1586,65852.5430491409
1587,95128.47596906974
1588,158984.2067519391
1589,95173.31543893267
1590,136303.49748497186
1591,101403.06754961793
1592,114262.30535894255
1593,136574.31515718275
1594,126895.62124085895
1595,110538.4848859045
1596,248561.25131418236
1597,189996.23343418268
1598,213701.64661288806
1599,174291.85743990622
1600,172618.36169001024
1601,61112.393213350304
1602,98003.90128877794
